,Company,Major,City,State,Accept,CityState,lats,lons,County
0,ACCELERATED MACHINE & DESIGN,ME,Rockford,IL,A,"('Rockford', 'IL')",42.2711311,-89.0939952,Winnebago
1,ARCHER DANIELS MIDLAND,CHE,Decatur,IL,A,"('Decatur', 'IL')",39.8403147,-88.9548001,Macon
2,ARCHER DANIELS MIDLAND,CHE,Clinton,IA,A,"('Clinton', 'IA')",41.8444735,-90.1887379,Clinton
3,ARCHER DANIELS MIDLAND,EE,Lincoln,NB,A,"('Lincoln', 'NB')",45.905402,-66.579492,York
4,ARCHER DANIELS MIDLAND,EE,Decatur,IL,A,"('Decatur', 'IL')",39.8403147,-88.9548001,Macon
5,"AG&E ASSOCIATES, P.L.L.C.",CE,Addision,TX,A,"('Addision', 'TX')",32.96179,-96.82916850000001,Dallas
6,AIM MACHINERY,ME,Merrillville,IN,A,"('Merrillville', 'IN')",41.4828144,-87.33281389999999,Lake
7,ALCOA,ME,"Dover,",NJ,A,"('Dover,', 'NJ')",40.883988,-74.5621025,Morris
8,ALCOA,ME,"Dover,",NJ,A,"('Dover,', 'NJ')",40.883988,-74.5621025,Morris
9,ALLEGIENT TECHNOLOGIES,SE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
10,ALLSTATE INSURANCE,CS,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
11,AMAZON,CS,Seattle,WA,A,"('Seattle', 'WA')",47.6062095,-122.3320708,King
12,AMAZON,CS,Seattle,WA,A,"('Seattle', 'WA')",47.6062095,-122.3320708,King
13,AMAZON,CS,Seattle,WA,A,"('Seattle', 'WA')",47.6062095,-122.3320708,King
14,AMAZON,CS,Seattle,WA,A,"('Seattle', 'WA')",47.6062095,-122.3320708,King
15,AMAZON,CS,Seattle,WA,A,"('Seattle', 'WA')",47.6062095,-122.3320708,King
16,AMAZON,CS,Seattle,WA,A,"('Seattle', 'WA')",47.6062095,-122.3320708,King
17,APACHE CORPORATION,ME,Houston,TX,A,"('Houston', 'TX')",29.7601927,-95.36938959999999,Harris
18,ARCELOR MITTAL,EE,Conshohoken,PA,A,"('Conshohoken', 'PA')",40.0792766,-75.3015714,Montgomery
19,ARCELOR MITTAL,CHE,Burns Harbor,IL,A,"('Burns Harbor', 'IL')",41.6258708,-87.1333676,Porter
20,BABCOCK & WILCOX,CE,Denver,CO,A,"('Denver', 'CO')",39.737567,-104.9847179,Denver
21,BOOZ ALLEN HAMILTON,SE,Annapolis Junction,MD,A,"('Annapolis Junction', 'MD')",39.130937,-76.7933133,Anne Arundel
22,BOOZ ALLEN HAMILTON,CS,Annapolis Junction,MD,A,"('Annapolis Junction', 'MD')",39.130937,-76.7933133,Anne Arundel
23,BOSTIK,CHE CHEM,Milwaukee,WI,A,"('Milwaukee', 'WI')",43.0389025,-87.9064736,Milwaukee
24,BOSTON SCIENTIFIC,BE,Spencer,IN,A,"('Spencer', 'IN')",39.2867117,-86.7625058,Owen
25,BP,ME,Houston,TX,A,"('Houston', 'TX')",29.7601927,-95.36938959999999,Harris
26,BP3 GLOBAL,CS,Austin,TX,A,"('Austin', 'TX')",30.267153,-97.7430608,Travis
27,BRISTOL MYERS SQUIBB,CHEM,Mount Vernon,IN,A,"('Mount Vernon', 'IN')",37.9322662,-87.8950267,Posey
28,C&I ENGINEERING,CHE,Louisville,KY,A,"('Louisville', 'KY')",38.2526647,-85.7584557,Jefferson
29,CANRIG DRILLING COMPANY,EE,Houston,TX,A,"('Houston', 'TX')",29.7601927,-95.36938959999999,Harris
30,CATERPILLAR,ME,Peoria,IL,A,"('Peoria', 'IL')",40.6936488,-89.5889864,Peoria
31,CATERPILLAR,ME EE,Peoria,IL,A,"('Peoria', 'IL')",40.6936488,-89.5889864,Peoria
32,CHRYSLER,ME,Auburn Hills,MI,A,"('Auburn Hills', 'MI')",42.6875323,-83.2341028,Oakland
33,CHRYSLER,ME,Auburn Hills,MI,A,"('Auburn Hills', 'MI')",42.6875323,-83.2341028,Oakland
34,COOK MEDICAL,BE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe
35,CORNERSTONE CONTROLS,EE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
36,CORNERSTONE CONTROLS,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
37,CUMMINS,ME,Seymour,IN,A,"('Seymour', 'IN')",38.9592201,-85.8902547,Jackson
38,DAJAC,CPE,Westfield,IN,A,"('Westfield', 'IN')",40.0428151,-86.1274888,Hamilton
39,ARCHER DANIELS MIDLAND,CHE,Decatur,IL,A,"('Decatur', 'IL')",39.8403147,-88.9548001,Macon
40,DEKA,ME,Manchester,NH,A,"('Manchester', 'NH')",42.9956397,-71.4547891,Hillsborough
