,City,State,Major,Salary,CityState,lats,lons,County
0,Indianapolis,IN,CHE,58000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
1,Indianapolis,IN,EE,58000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
2,Clinton,IA,CHE,63000,"('Clinton', 'IA')",41.8444735,-90.1887379,Clinton
3,Decatur,IL,CHE,63100,"('Decatur', 'IL')",39.8403147,-88.9548001,Macon
4,Clinton,IA,CHE,63000,"('Clinton', 'IA')",41.8444735,-90.1887379,Clinton
5,Lincoln,NB,EE,61000,"('Lincoln', 'NB')",45.905402,-66.579492,York
6,Decatur,IL,EE,62500,"('Decatur', 'IL')",39.8403147,-88.9548001,Macon
7,Addision,TX,CE,45000,"('Addision', 'TX')",32.96179,-96.82916850000001,Dallas
8,Dallas,TX,CE,45000,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
9,Merrillville,IN,ME,54000,"('Merrillville', 'IN')",41.4828144,-87.33281389999999,Lake
10,Evansville,IN,EE,60800,"('Evansville', 'IN')",37.9715592,-87.5710898,Vanderburgh
11,Dover,NJ,ME,60000,"('Dover', 'NJ')",40.883988,-74.5621025,Morris
12,Dover,NJ,ME,60500,"('Dover', 'NJ')",40.883988,-74.5621025,Morris
13,Indianapolis,IN,CPE,55000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
14,Indianapolis,IN,CS,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
15,Indianapolis,IN,SE,50000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
16,Indianapolis,IN,SE,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
17,Indianapolis,IN,ME,64000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
18,Indianapolis,IN,ME,64008,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
19,Indianapolis,IN,EE,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
20,Chicago,IL,CS,52300,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
21,Chicago,IL,CS,55000,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
22,Chicago,IL,CS,60000,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
23,Seattle,WA,CS,90000,"('Seattle', 'WA')",47.6062095,-122.3320708,King
24,Seattle,WA,CS,90000,"('Seattle', 'WA')",47.6062095,-122.3320708,King
25,Seattle,WA,CS,90000,"('Seattle', 'WA')",47.6062095,-122.3320708,King
26,Seattle,WA,CS,90000,"('Seattle', 'WA')",47.6062095,-122.3320708,King
27,Seattle,WA,CS,90000,"('Seattle', 'WA')",47.6062095,-122.3320708,King
28,Seattle,WA,CS,90000,"('Seattle', 'WA')",47.6062095,-122.3320708,King
29,Seattle,WA,CE,52500,"('Seattle', 'WA')",47.6062095,-122.3320708,King
30,Indianapolis,IN,SE,70000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
31,Houston,TX,ME,100000,"('Houston', 'TX')",29.7601927,-95.36938959999999,Harris
32,Indianapolis,IN,CPE,48000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
33,Indianapolis,IN,BE CS,55000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
34,Indianapolis,IN,CPE,59000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
