,Company,Major,City,State,Accept,CityState,lats,lons,County,DistFromRoseHulman,BearingFromRoseHulman
0,GARMONG CONSTRUCTION,CE,Terre Haute,IN,A,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
1,DUPONT,CHE,Terre Haute,IN,R,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
2,DUPONT,CHE,Terre Haute,IN,R,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
3,GE,ME,Terre Haute,IN,R,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
4,THYSSEUN KRUPP,ME,Terre Haute,IN,A,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
5,SONY DADC,ME,Terre Haute,IN,O,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
6,MIDWEST COMPLIANCE LABORATORIES,CHEM,Terre Haute,IN,O,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
7,SIMMA SOFTWARE INC.,CPE,Terre Haute,IN,A,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
8,TREDEGAR,CHE,Terre Haute,IN,A,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
9,CONOCOPHILLIPS,ME,Terre Haute,IN,R,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
10,MIDWEST COMPLIANCE LABORATORIES,CHEM,Terre Haute,IN,O,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
11,NRK INC.,EE,Terre Haute,IN,A,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
12,NIPSCO,CHE,West Terre Haute,IN,A,"('West Terre Haute', 'IN')",39.4650363,-87.45002099999999,Vigo,6.436964905709076,-170.89756200266493
13,GREEN LEAF,ME,Fontanet,IN,R,"('Fontanet', 'IN')",39.57536990000001,-87.2434821,Vigo,8.07026927655978,54.845190193967824
14,TECHNIFAB,ME,Brazil,IN,A,"('Brazil', 'IN')",39.523652,-87.1250154,Clay,11.373143455232443,15.489825614238915
15,GREAT DANE TRAILERS,ME,Brazil,IN,A,"('Brazil', 'IN')",39.523652,-87.1250154,Clay,11.373143455232443,15.489825614238915
16,OMNI OXIDE,CHE,Brazil,IN,A,"('Brazil', 'IN')",39.523652,-87.1250154,Clay,11.373143455232443,15.489825614238915
17,GREAT DANE TRAILERS,ME,Brazil,IN,A,"('Brazil', 'IN')",39.523652,-87.1250154,Clay,11.373143455232443,15.489825614238915
