,City,State,Major,Salary,CityState,lats,lons,County,DistFromRoseHulman,BearingFromRoseHulman
0,Terre Haute,IN,CHE,75000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
1,Terre Haute,IN,ME,78000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
2,Terre Haute,IN,ME,42000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
3,Terre Haute,IN,CHEM,42000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
4,Terre Haute,IN,CPE,48000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
5,Terre Haute,IN,CE,48000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
6,Terre Haute,IN,EE,70000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
7,Terre Haute,IN,CHEM,42000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
8,Terre Haute,IN,CHE,74000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
9,Terre Haute,IN,CHE,63500,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
10,Terre Haute,IN,ME,60000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
11,Terre Haute,IN,ME,55000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo,4.522328778260515,-168.45126607205916
12,West Terre Haute,IN,CHE,59500,"('West Terre Haute', 'IN')",39.4650363,-87.45002099999999,Vigo,6.436964905709076,-170.89756200266493
13,Fontanet,IN,ME,33000,"('Fontanet', 'IN')",39.57536990000001,-87.2434821,Vigo,8.07026927655978,54.845190193967824
14,Brazil,IN,ME,52000,"('Brazil', 'IN')",39.523652,-87.1250154,Clay,11.373143455232443,15.489825614238915
15,Brazil,IN,ME,52000,"('Brazil', 'IN')",39.523652,-87.1250154,Clay,11.373143455232443,15.489825614238915
16,Brazil,IN,ME,52000,"('Brazil', 'IN')",39.523652,-87.1250154,Clay,11.373143455232443,15.489825614238915
17,Brazil,IN,CHE,65000,"('Brazil', 'IN')",39.523652,-87.1250154,Clay,11.373143455232443,15.489825614238915
18,Brazil,IN,ME,57500,"('Brazil', 'IN')",39.523652,-87.1250154,Clay,11.373143455232443,15.489825614238915
19,Clinton,IN,CHE BE,68000,"('Clinton', 'IN')",39.6569817,-87.3980741,Vermillion,12.744833899746697,106.29903329006645
20,Clinton,IN,CHE,60999,"('Clinton', 'IN')",39.6569817,-87.3980741,Vermillion,12.744833899746697,106.29903329006645
21,Clinton,IN,CE,59800,"('Clinton', 'IN')",39.6569817,-87.3980741,Vermillion,12.744833899746697,106.29903329006645
22,Marshall,IL,ME,54000,"('Marshall', 'IL')",39.3914252,-87.6936384,Clark,20.290983179536383,-162.60419131076748
23,Paris,IL,ME,45000,"('Paris', 'IL')",39.611146,-87.6961374,Edgar,21.462158514378274,154.8954931858411
24,Spencer,IN,ME,53788,"('Spencer', 'IN')",39.2867117,-86.7625058,Owen,33.13164100577265,-23.554675750759422
25,Spencer,IN,BE,57500,"('Spencer', 'IN')",39.2867117,-86.7625058,Owen,33.13164100577265,-23.554675750759422
26,Spencer,IN,BE,55000,"('Spencer', 'IN')",39.2867117,-86.7625058,Owen,33.13164100577265,-23.554675750759422
27,Spencer,IN,BE,57000,"('Spencer', 'IN')",39.2867117,-86.7625058,Owen,33.13164100577265,-23.554675750759422
28,Spencer,IN,BE,52500,"('Spencer', 'IN')",39.2867117,-86.7625058,Owen,33.13164100577265,-23.554675750759422
29,Robinson,IL,CHE,83000,"('Robinson', 'IL')",39.0053201,-87.7391935,Crawford,39.37762156934039,-123.81512241512819
30,Robinson,IL,CHE,77000,"('Robinson', 'IL')",39.0053201,-87.7391935,Crawford,39.37762156934039,-123.81512241512819
31,Robinson,IL,CHE,83000,"('Robinson', 'IL')",39.0053201,-87.7391935,Crawford,39.37762156934039,-123.81512241512819
32,Crawfordsville,IN,ME,49000,"('Crawfordsville', 'IN')",40.0411536,-86.87445160000001,Montgomery,45.70477427094755,58.14174488960068
33,Crawfordsville,IN,EE,60049,"('Crawfordsville', 'IN')",40.0411536,-86.87445160000001,Montgomery,45.70477427094755,58.14174488960068
34,Edwardsport,IN,EE,59000,"('Edwardsport', 'IN')",38.811991,-87.2522367,Knox,46.30671775098907,-84.76312101034199
35,Crane,IN,ME,58500,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
36,Crane,IN,EE,56500,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
37,Crane,IN,ME,58500,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
38,Crane,IN,ME,58000,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
39,Crane,IN,OE,53000,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
40,Crane,IN,OE,54875,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
41,Crane,IN,EE,53012,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
42,Crane,IN,ME,48960,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
43,Crane,IN,ME,54879,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
44,Danville,IL,ME,63000,"('Danville', 'IL')",40.124481,-87.6300207,Vermilion,47.257695509657715,109.53136025903481
45,Bloomington,IN,BE,59100,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
46,Bloomington,IN,CHE,55000,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
47,Bloomington,IN,CHE,55200,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
48,Bloomington,IN,MA,52000,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
49,Bloomington,IN,BE,53400,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
50,Bloomington,IN,BE,56000,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
51,Bloomington,IN,BE CS,54000,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
52,Bloomington,IN,ME,55200,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
53,Bloomington,IN,BE,50000,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
54,Bloomington,IN,CPE,56000,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
55,Bloomington,IN,BE,55000,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
56,Bloomington,IN,CE,55000,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
57,Bloomington,IN,EE,56000,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
58,Martinsville,IN,ME,38000,"('Martinsville', 'IN')",39.42782529999999,-86.4283279,Morgan,48.24933123869992,-3.982519831946569
59,Mooresville,IN,CE,50000,"('Mooresville', 'IN')",39.6128243,-86.37415999999999,Morgan,51.75658529788737,10.52328742079012
60,Mooresville,IN,ME,65000,"('Mooresville', 'IN')",39.6128243,-86.37415999999999,Morgan,51.75658529788737,10.52328742079012
61,Mooresville,IN,ME,55000,"('Mooresville', 'IN')",39.6128243,-86.37415999999999,Morgan,51.75658529788737,10.52328742079012
62,Brownsburg,IN,ME,53000,"('Brownsburg', 'IN')",39.8433769,-86.39777350000001,Hendricks,55.5860511357713,27.142439617529337
63,Bedford,IN,CPE,63000,"('Bedford', 'IN')",38.8611619,-86.4872149,Lawrence,62.16283003944438,-43.1434543247299
64,Champaign,IL,BE,50000,"('Champaign', 'IL')",40.1164204,-88.2433829,Champaign,65.39063555478558,137.47227235935884
65,Indianapolis,IN,CE,54000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
66,Indianapolis,IN,CE,54000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
67,Indianapolis,IN,EE,56500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
68,Indianapolis,IN,CS,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
69,Indianapolis,IN,CE,40000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
70,Indianapolis,IN,ME,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
71,Indianapolis,IN,ME,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
72,Indianapolis,IN,CS,62400,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
