,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15
1,19.0,40.0,26.0,15.0,27.0,23.0,18.0,8.0,16.0,22.0,27.0,31.0,24.0,8.0,24.0
2,20.0,22.0,22.0,16.0,27.0,26.0,20.0,16.0,16.0,26.0,12.0,19.0,27.0,10.0,18.0
3,20.0,38.0,38.0,20.0,27.0,27.0,24.0,15.0,19.0,18.0,28.0,33.0,28.0,10.0,38.0
4,19.0,40.0,24.0,19.0,28.0,25.0,23.0,12.0,18.0,26.0,22.0,,29.0,9.0,32.0
5,20.0,41.0,37.0,24.0,32.0,29.0,26.0,17.0,17.0,19.0,16.0,13.0,27.0,10.0,29.0
6,20.0,37.0,33.0,16.0,25.0,22.0,20.0,17.0,13.0,34.0,20.0,29.0,,9.0,
7,20.0,38.0,38.0,20.0,27.0,23.0,15.0,17.0,18.0,21.0,30.0,34.0,,10.0,
8,20.0,30.0,33.0,18.0,27.0,27.0,18.0,11.0,17.0,20.0,25.0,13.0,24.0,9.0,26.0
9,18.0,40.0,37.0,20.0,28.0,28.0,20.0,15.0,19.0,21.0,30.0,33.0,30.0,9.0,36.0
10,20.0,36.0,39.0,20.0,30.0,27.0,24.0,11.0,18.0,26.0,30.0,33.0,28.0,10.0,39.0
11,20.0,41.0,35.0,18.0,27.0,25.0,18.0,12.0,20.0,25.0,30.0,27.0,24.0,9.0,33.0
12,20.0,38.0,34.0,18.0,24.0,21.0,16.0,15.0,11.0,23.0,17.0,19.0,27.0,9.0,21.0
13,20.0,27.0,36.0,24.0,32.0,30.0,22.0,13.0,20.0,37.0,30.0,34.0,32.0,9.0,38.0
14,19.0,41.0,39.0,21.0,33.0,23.0,21.0,17.0,20.0,32.0,24.0,23.0,31.0,10.0,39.0
15,20.0,36.0,32.0,19.0,30.0,30.0,9.0,16.0,16.0,29.0,12.0,29.0,27.0,9.0,23.0
16,19.0,39.0,37.0,23.0,31.0,26.0,13.0,17.0,11.0,26.0,26.0,20.0,31.0,10.0,34.0
17,16.0,36.0,35.0,18.0,28.0,19.0,21.0,12.0,18.0,15.0,28.0,14.0,32.0,7.0,21.0
18,18.0,39.0,37.0,20.0,29.0,21.0,25.0,18.0,17.0,24.0,26.0,29.0,32.0,10.0,20.0
19,16.0,42.0,34.0,22.0,28.0,,18.0,16.0,18.0,17.0,26.0,16.0,25.0,9.0,30.0
20,20.0,31.0,32.0,20.0,18.0,23.0,13.0,10.0,9.0,15.0,16.0,27.0,26.0,10.0,25.0
