,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15
1,17.0,35.0,38.0,17.0,25.0,23.0,21.0,17.0,18.0,33.0,20.0,27.0,21.0,10.0,
2,18.0,32.0,32.0,23.0,25.0,24.0,23.0,15.0,9.0,14.0,19.0,30.0,22.0,10.0,35.0
3,18.0,41.0,17.0,22.0,32.0,23.0,19.0,17.0,18.0,38.0,23.0,29.0,27.0,9.0,25.0
4,20.0,37.0,35.0,,19.0,20.0,21.0,6.0,9.0,14.0,11.0,30.0,20.0,9.0,29.0
5,7.0,41.0,36.0,24.0,26.0,27.0,24.0,17.0,19.0,34.0,30.0,35.0,32.0,10.0,39.0
6,20.0,40.0,33.0,19.0,28.0,25.0,23.0,17.0,15.0,26.0,27.0,32.0,26.0,10.0,39.0
7,19.0,40.0,37.0,21.0,31.0,27.0,23.0,16.0,16.0,24.0,14.0,14.0,24.0,9.0,30.0
8,18.0,36.0,38.0,18.0,25.0,26.0,22.0,,13.0,27.0,20.0,20.0,18.0,10.0,11.0
9,20.0,39.0,33.0,20.0,25.0,25.0,18.0,17.0,9.0,22.0,17.0,22.0,27.0,9.0,33.0
10,16.0,29.0,33.0,23.0,28.0,30.0,23.0,17.0,18.0,29.0,23.0,32.0,22.0,8.0,36.0
11,19.0,34.0,37.0,,18.0,26.0,15.0,14.0,18.0,,18.0,36.0,,,21.0
12,19.0,41.0,39.0,24.0,25.0,27.0,24.0,17.0,19.0,26.0,23.0,34.0,27.0,10.0,39.0
13,20.0,35.0,37.0,24.0,30.0,27.0,20.0,17.0,20.0,34.0,30.0,33.0,29.0,9.0,39.0
14,20.0,38.0,36.0,20.0,28.0,27.0,26.0,17.0,11.0,26.0,28.0,33.0,27.0,9.0,39.0
15,18.0,27.0,28.0,17.0,29.0,26.0,21.0,,9.0,19.0,14.0,17.0,16.0,9.0,33.0
16,20.0,37.0,31.0,23.0,28.0,26.0,16.0,16.0,21.0,30.0,24.0,33.0,31.0,10.0,
17,20.0,35.0,28.0,12.0,25.0,29.0,22.0,4.0,16.0,18.0,12.0,27.0,30.0,9.0,37.0
18,17.0,37.0,27.0,15.0,27.0,24.0,14.0,14.0,11.0,21.0,22.0,36.0,23.0,8.0,30.0
19,20.0,40.0,26.0,23.0,28.0,28.0,22.0,17.0,18.0,30.0,11.0,31.0,30.0,10.0,25.0
20,20.0,41.0,32.0,22.0,30.0,25.0,28.0,17.0,13.0,33.0,28.0,32.0,30.0,9.0,39.0
