,L1,L2,L3,L4,L5,L6
1,7.0,10.0,10.0,10.0,4.0,9.0
2,7.0,10.0,10.0,6.0,5.0,9.0
3,10.0,10.0,10.0,10.0,5.0,9.0
4,8.0,10.0,9.0,10.0,5.0,10.0
5,10.0,10.0,9.0,7.0,,
6,7.0,10.0,9.0,10.0,5.0,9.0
7,10.0,10.0,10.0,10.0,5.0,9.0
8,9.0,10.0,7.0,7.0,4.0,9.0
9,9.0,10.0,10.0,10.0,5.0,9.0
10,10.0,10.0,10.0,10.0,5.0,10.0
11,9.0,10.0,9.0,10.0,5.0,9.0
12,7.0,10.0,9.0,10.0,5.0,9.0
13,,10.0,10.0,10.0,5.0,9.0
14,10.0,10.0,10.0,10.0,5.0,10.0
15,9.0,10.0,10.0,10.0,5.0,9.0
16,10.0,10.0,9.0,10.0,5.0,10.0
17,10.0,10.0,7.0,9.0,4.0,9.0
18,9.0,10.0,10.0,10.0,5.0,9.0
19,,10.0,9.0,10.0,,10.0
20,7.0,10.0,10.0,7.0,1.0,9.0
