,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
0,ELANCO,BE,Clinton,IN,O,"('Clinton', 'IN')",39.6569817,-87.39807409999999,12.744833899746695,106.29903329006643
1,BOSTON SCIENTIFIC,BE,Spencer,IN,A,"('Spencer', 'IN')",39.286711700000005,-86.7625058,33.13164100577265,-23.554675750759426
2,BOSTON SCIENTIFIC,BE,Spencer,IN,A,"('Spencer', 'IN')",39.286711700000005,-86.7625058,33.13164100577265,-23.554675750759426
3,BOSTON SCIENTIFIC,BE,Spencer,IN,R,"('Spencer', 'IN')",39.286711700000005,-86.7625058,33.13164100577265,-23.554675750759426
4,BOSTON SCIENTIFIC,BE,Spencer,IN,A,"('Spencer', 'IN')",39.286711700000005,-86.7625058,33.13164100577265,-23.554675750759426
5,COOK MEDICAL,BE,Bloomington,IN,O,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
6,PERFORMANCE VALIDATION,BE,Bloomington,IN,O,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
7,COOK MEDICAL,BE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
8,COOK MEDICAL,BE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
9,"COOK UROLOGICAL, INC.",BE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
10,COOK MEDICAL,BE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
11,ENVIROX,BE,Champaign,IL,A,"('Champaign', 'IL')",40.116420399999996,-88.2433829,65.39063555478558,137.47227235935884
12,MEDIVATIVE TECHNOLOGIES,BE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
13,ROCHE DIAGNOSTICS,BE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
14,BECKMAN COULTER,BE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
15,AIRCOM,BE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
16,PULMODYNE,BE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
17,TRIMEDX,BE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
18,PERFORMANCE VALIDATION,BE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
19,ELI LILLY,BE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
20,FAST DIAGNOSTICS,BE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
21,APPARATUS,BE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
22,PERFORMANCE VALIDATION,BE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
23,ST. JUDE MEDICAL,BE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
24,INDIGO BIOSYSTEMS,BE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
25,GE HEALTHCARE,BE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
26,ENDRESS+HAUSER,BE,Greenwood,IN,A,"('Greenwood', 'IN')",39.6136578,-86.10665259999998,65.83000978427143,8.457910597345778
27,HILL ROM CO.,BE,Batesville,IN,A,"('Batesville', 'IN')",39.3000511,-85.222184,113.20559667943665,-5.626074936407036
28,TORNIER,BE,Warsaw,IN,A,"('Warsaw', 'IN')",41.2381,-85.85304690000001,144.16542533919946,57.83927123403832
29,ZIMMER,BE,Warsaw,IN,O,"('Warsaw', 'IN')",41.2381,-85.85304690000001,144.16542533919946,57.83927123403832
30,ORTHOPEDIATRICS,BE,Warsaw,IN,R,"('Warsaw', 'IN')",41.2381,-85.85304690000001,144.16542533919946,57.83927123403832
