,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
0,GARMONG CONSTRUCTION,CE,Terre Haute,IN,A,"('Terre Haute', 'IN')",39.4667034,-87.41390919999998,4.522328778260515,-168.45126607205916
1,WHITE CONSTRUCTION,CE,Clinton,IN,O,"('Clinton', 'IN')",39.6569817,-87.39807409999999,12.744833899746695,106.29903329006643
2,VECTREN ENERGY,CE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
3,NICEPAK,CE,Mooresville,IN,O,"('Mooresville', 'IN')",39.61282429999999,-86.37415999999997,51.75658529788736,10.523287420790119
4,JANSSEN AND SPAAN,CE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
5,UNITED CONSULTING,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
6,RIETH RILEY CONSTRUCTION,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
7,GPD,CE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
8,"HANNUM, WAGLE, CLINE",CE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
9,AMERICAN STRUCTUREPOINT,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
10,RW ARMSTRONG,CE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
11,HNTB,CE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
12,ORR FELLOWSHIP,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
13,CORRADINO,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
14,ATC ASSOCIATES,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
15,MESSER CONSTRUCTION,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
16,MOFFATT & NICHOL,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
17,MS CONSULTANTS,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
18,MESSER CONSTRUCTION,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
19,WEIHE ENGINEERING,CE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
20,WESSLER,CE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
21,"CEC, INC.",CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
22,RW ARMSTRONG & ASSOCIATES,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
23,GPD,CE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
24,FARAH & SONS,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
25,RW ARMSTRONG,CE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
26,MD WESSLER * ASSOC.,CE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
27,MD WESSLER & ASSOCIATES,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
28,VECTREN ENERGY,CE,Lafayette,IN,R,"('Lafayette', 'IN')",40.4167022,-86.87528689999998,69.0372614113871,69.70374264871259
29,JANSEN AND SPAANS,CE,Columbus,IN,A,"('Columbus', 'IN')",39.201440399999996,-85.9213796,77.68137681610905,-13.880214911081527
30,KNAUF INSULATION,CE,Shelbyville,IN,A,"('Shelbyville', 'IN')",39.521437299999995,-85.7769238,82.83894393880506,2.480859978895256
31,GSI INC.,CE,Decatur,IL,A,"('Decatur', 'IL')",39.84031470000001,-88.9548001,89.843696162322,163.39936313713287
32,FPBH,CE,Mount Vernon,IN,O,"('Mount Vernon', 'IN')",37.9322662,-87.8950267,111.10040167106173,-106.05889475335016
33,WALSH CONSTRUCTION,CE,Louisville,KY,O,"('Louisville', 'KY')",38.252664700000004,-85.7584557,119.68819217006785,-44.57301418833032
34,WALSH CONSTRUCTION,CE,Louisville,KY,O,"('Louisville', 'KY')",38.252664700000004,-85.7584557,119.68819217006785,-44.57301418833032
35,ARCELORMITTAL,CE,Burns Harbor,IN,A,"('Burns Harbor', 'IN')",41.6258708,-87.1333676,148.5443364352631,86.0656006900684
36,ARCELOR MITTAL,CE,Burns Harbor,IN,O,"('Burns Harbor', 'IN')",41.6258708,-87.1333676,148.5443364352631,86.0656006900684
37,INDOT,CE,Laporte,IN,R,"('Laporte', 'IN')",41.611143,-86.7227195,150.58358020430848,77.96442966764798
38,MESSER CONSTRUCTION,CE,Cincinnati,OH,O,"('Cincinnati', 'OH')",39.103118200000004,-84.5120196,152.85814127796968,-8.90309005641693
39,MESSER,CE,Cincinnati,OH,A,"('Cincinnati', 'OH')",39.103118200000004,-84.5120196,152.85814127796968,-8.90309005641693
40,AMERAN,CE,St. Louis,MO,A,"('St. Louis', 'MO')",38.6270025,-90.1994042,164.69631238887345,-159.95892744600144
41,PRIMERA,CE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
42,"JACOB & HEFNER ASSOCIATES, INC.",CE,Chicago,IL,O,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
43,INFRASTRUCTURE,CE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
44,"WANG ENGINEERING, INC.",CE,Lombard,IL,O,"('Lombard', 'IL')",41.8800296,-88.00784349999998,169.48056306797008,101.85510980494864
45,NUCOR STEEL,CE,Waterloo,IN,R,"('Waterloo', 'IN')",41.4319946,-85.0199666,181.39826037742424,48.73499830274026
46,MANHARD,CE,Vernon Hills,IL,O,"('Vernon Hills', 'IL')",42.23933230000001,-87.9653565,193.40093650929438,99.65964366162069
47,US ARMY CORPS OF ENGINEERING,CE,Jamestown,KY,A,"('Jamestown', 'KY')",36.984789899999996,-85.06300999999998,211.66865668967316,-53.767228268232095
48,PERRY ENGINEERING,CE,Goodlettsville,TN,O,"('Goodlettsville', 'TN')",36.3231066,-86.7133302,220.55163355990445,-81.03517473733345
49,MARATHON OIL,CE,Findlay,OH,A,"('Findlay', 'OH')",41.04422,-83.6499321,221.97410570024056,30.29605361310785
50,MS CONSULTANTS INC.,CE,Columbus,OH,O,"('Columbus', 'OH')",39.9611755,-82.99879419999998,232.44136574324082,9.600485148675917
51,MS CONSULTANTS INC.,CE,Columbus,OH,O,"('Columbus', 'OH')",39.9611755,-82.99879419999998,232.44136574324082,9.600485148675917
52,CIVIL AND ENVIROMENTAL CONSULTANTS,CE,Columbus,OH,O,"('Columbus', 'OH')",39.9611755,-82.99879419999998,232.44136574324082,9.600485148675917
53,ALCOA HOWMET,CE,Whitehall,MI,A,"('Whitehall', 'MI')",43.4100107,-86.34867919999998,276.0913682483382,79.71347348211165
54,"GRESHAM, SMITH AND PARTNERS",CE,Knoxville,TN,A,"('Knoxville', 'TN')",35.96063839999999,-83.9207392,306.113581907776,-51.47447619729471
55,ARCADIS,CE,Chattanooga,TN,A,"('Chattanooga', 'TN')",35.0456297,-85.3096801,325.6786815251335,-69.44263851629127
56,WALSH CONSTRUCTION,CE,Cannonsburg,PA,O,"('Cannonsburg', 'PA')",40.262570200000006,-80.18727969999998,382.2996739475212,10.406090937335092
57,HALLIBURTON,CE,Carmichaels,PA,A,"('Carmichaels', 'PA')",39.89674249999999,-79.97449920000001,391.83042695398626,6.5570142932822035
58,HALLIBURTON,CE,Carmichaels,PA,A,"('Carmichaels', 'PA')",39.89674249999999,-79.97449920000001,391.83042695398626,6.5570142932822035
59,HALLIBURTON,CE,Carmichaels,PA,A,"('Carmichaels', 'PA')",39.89674249999999,-79.97449920000001,391.83042695398626,6.5570142932822035
60,,CE,Pittsburgh,PA,O,"('Pittsburgh', 'PA')",40.44062479999999,-79.9958864,393.713888133106,12.0420415021123
61,WALSH CONSTRUCTION,CE,Pittsburgh,PA,A,"('Pittsburgh', 'PA')",40.44062479999999,-79.9958864,393.713888133106,12.0420415021123
62,NICHOLSON CONSTRUCTION COMPANY,CE,Pittsburgh,PA,A,"('Pittsburgh', 'PA')",40.44062479999999,-79.9958864,393.713888133106,12.0420415021123
63,HALIBURTON,CE,Homer City,PA,O,"('Homer City', 'PA')",40.54340070000001,-79.16225659999998,438.03285611226187,12.260266224704152
64,EXXON MOBIL,CE,Fairfax,VA,A,"('Fairfax', 'VA')",38.84622359999999,-77.30637329999998,538.1869073054302,-1.4783966634158032
65,HALLIBURTON,CE,Montgomery,PA,A,"('Montgomery', 'PA')",41.1703592,-76.87690759999998,562.1884483518849,15.331274860125374
66,HALLIBURTON,CE,Montgomery,PA,A,"('Montgomery', 'PA')",41.1703592,-76.87690759999998,562.1884483518849,15.331274860125374
67,HALIBURTON,CE,Muncie,PA,O,"('Muncie', 'PA')",41.2056373,-76.78551519999998,567.2487056035064,15.504089040831676
68,BOWEN ENGINEERING,CE,Baltimore,MD,A,"('Baltimore', 'MD')",39.2903848,-76.6121893,571.8488458108715,2.1002958926881767
