,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
0,DUPONT,CHE,Terre Haute,IN,R,"('Terre Haute', 'IN')",39.4667034,-87.41390919999998,4.522328778260515,-168.45126607205916
1,DUPONT,CHE,Terre Haute,IN,R,"('Terre Haute', 'IN')",39.4667034,-87.41390919999998,4.522328778260515,-168.45126607205916
2,TREDEGAR,CHE,Terre Haute,IN,A,"('Terre Haute', 'IN')",39.4667034,-87.41390919999998,4.522328778260515,-168.45126607205916
3,NIPSCO,CHE,West Terre Haute,IN,A,"('West Terre Haute', 'IN')",39.465036299999994,-87.45002099999998,6.436964905709076,-170.8975620026649
4,OMNI OXIDE,CHE,Brazil,IN,A,"('Brazil', 'IN')",39.523652,-87.12501540000001,11.373143455232446,15.489825614238914
5,ELANCO,CHE,Clinton,IN,O,"('Clinton', 'IN')",39.6569817,-87.39807409999999,12.744833899746695,106.29903329006643
6,ELI LILLY,CHE,Clinton,IN,R,"('Clinton', 'IN')",39.6569817,-87.39807409999999,12.744833899746695,106.29903329006643
7,MARATHON PETROLEUM,CHE,Robinson,IL,O,"('Robinson', 'IL')",39.0053201,-87.7391935,39.37762156934039,-123.81512241512822
8,MARATHON OIL,CHE,Robinson,IL,A,"('Robinson', 'IL')",39.0053201,-87.7391935,39.37762156934039,-123.81512241512822
9,MARATHON PETROLEUM,CHE,Robinson,IL,O,"('Robinson', 'IL')",39.0053201,-87.7391935,39.37762156934039,-123.81512241512822
10,COOK MEDICAL,CHE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
11,BAXTER PHARM,CHE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
12,ELI LILLY,CHE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
13,ELI LILLY,CHE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
14,ORS,CHE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
15,ENERDEL,CHE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
16,CORNERSTONE CONTROLS,CHE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
17,ELI LILLY,CHE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
18,PRECISION CHEMICAL,CHE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
19,CORNERSTONE CONTROLS,CHE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
20,DIVERSIFIED SYSTEMS,CHE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
21,ACE TECHNOLOGIES,CHE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
22,ELI LILLY,CHE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
23,HNTB CORPORATION,CHE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
24,INGREDION,CHE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
25,ENDRESS + HAUSER,CHE,Greenwood,IN,A,"('Greenwood', 'IN')",39.6136578,-86.10665259999998,65.83000978427143,8.457910597345778
26,TATE AND LYLE,CHE,Lafayette,IN,O,"('Lafayette', 'IN')",40.4167022,-86.87528689999998,69.0372614113871,69.70374264871259
27,TATE AND LYLE,CHE,Layfayette,IN,O,"('Layfayette', 'IN')",40.4167022,-86.87528689999998,69.0372614113871,69.70374264871259
28,TATE AND LYLE,CHE,Layfayette,IN,O,"('Layfayette', 'IN')",40.4167022,-86.87528689999998,69.0372614113871,69.70374264871259
29,TATE & LYLE,CHE,Lafayette,IN,A,"('Lafayette', 'IN')",40.4167022,-86.87528689999998,69.0372614113871,69.70374264871259
30,TATE & LYLE,CHE,West Lafayette,IN,A,"('West Lafayette', 'IN')",40.4258686,-86.90806549999998,69.04857755250164,71.22717285709983
31,ARCHER DANIELS MIDLAND,CHE,Frankfort,IN,A,"('Frankfort', 'IN')",40.2794809,-86.5108355,70.25882091662764,52.06325865095024
32,FRITO LAY,CHE,Frankfort,IN,A,"('Frankfort', 'IN')",40.2794809,-86.5108355,70.25882091662764,52.06325865095024
33,STRAND ASSOCIATES,CHE,Columbus,IN,A,"('Columbus', 'IN')",39.201440399999996,-85.9213796,77.68137681610905,-13.880214911081527
34,KNAUF INSULATION,CHE,Shelbyville,IN,A,"('Shelbyville', 'IN')",39.521437299999995,-85.7769238,82.83894393880506,2.480859978895256
35,ADM,CHE,Decatur,IL,A,"('Decatur', 'IL')",39.84031470000001,-88.9548001,89.843696162322,163.39936313713287
36,ADM,CHE,Decatur,IL,R,"('Decatur', 'IL')",39.84031470000001,-88.9548001,89.843696162322,163.39936313713287
37,ADM,CHE,Decatur,IL,R,"('Decatur', 'IL')",39.84031470000001,-88.9548001,89.843696162322,163.39936313713287
38,ADM,CHE,Decatur,IL,R,"('Decatur', 'IL')",39.84031470000001,-88.9548001,89.843696162322,163.39936313713287
39,DANIELS MIDLAND COMPANY ADM,CHE,Decatur,IL,A,"('Decatur', 'IL')",39.84031470000001,-88.9548001,89.843696162322,163.39936313713287
