,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
0,SIMMA SOFTWARE INC.,CPE,Terre Haute,IN,A,"('Terre Haute', 'IN')",39.4667034,-87.41390919999998,4.522328778260515,-168.45126607205916
1,NOVONICS,CPE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
2,TRI STAR ENGINEERING,CPE,Bedford,IN,R,"('Bedford', 'IN')",38.8611619,-86.48721490000001,62.16283003944438,-43.1434543247299
3,SCIENTIA,CPE,Bedford,IN,R,"('Bedford', 'IN')",38.8611619,-86.48721490000001,62.16283003944438,-43.1434543247299
4,ALLISON TRANSMISSIONS,CPE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
5,ORS,CPE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
6,BECKMAN COULTER,CPE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
7,INDESIGN,CPE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
8,APPARATUS,CPE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
9,APPARATUS,CPE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
10,RAYTHEON,CPE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
11,ALLEGIANT TECHNOLOGIES,CPE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
12,INDESIGN,CPE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
13,THOMSON,CPE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
14,INDESIGN,CPE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
15,DAJAC,CPE,Carmel,IN,O,"('Carmel', 'IN')",39.978371,-86.1180435,73.02381073463572,28.511206284442157
16,DAJAC,CPE,Westfield,IN,A,"('Westfield', 'IN')",40.0428151,-86.1274888,74.76926883187456,31.709277239167033
17,"ORS, INC",CPE,Fishers,IN,A,"('Fishers', 'IN')",39.95675479999999,-86.01335,77.33352835877467,25.6224438054186
18,CUMMINS,CPE,Columbus,IN,R,"('Columbus', 'IN')",39.201440399999996,-85.9213796,77.68137681610905,-13.880214911081527
19,LHP,CPE,Columbus,IN,R,"('Columbus', 'IN')",39.201440399999996,-85.9213796,77.68137681610905,-13.880214911081527
20,NEXT WAVE SYSTEMS,CPE,Salem,IN,R,"('Salem', 'IN')",38.6056131,-86.101089,89.40276740932993,-42.08072935435849
21,DELPHI E & S,CPE,Kokomo,IN,R,"('Kokomo', 'IN')",40.486427,-86.13360329999998,94.03504022956949,48.03952295358759
22,DELPHI,CPE,Kokoma,IN,R,"('Kokoma', 'IN')",40.486427,-86.13360329999998,94.03504022956949,48.03952295358759
23,CATERPILLAR,CPE,Peoria,IL,RESCINDED,"('Peoria', 'IL')",40.6936488,-89.58898640000001,145.7867194928936,144.1863525045756
24,ARCELOR MITTAL,CPE,Burns Harbor,IN,R,"('Burns Harbor', 'IN')",41.6258708,-87.1333676,148.5443364352631,86.0656006900684
25,ARCELOR MITTAL,CPE,Burns Harbor,IN,O,"('Burns Harbor', 'IN')",41.6258708,-87.1333676,148.5443364352631,86.0656006900684
26,CATERPILLAR,CPE,Mossville,IL,R,"('Mossville', 'IL')",40.8171184,-89.56794740000001,149.88655958800902,141.25679866550203
27,NG XETRON,CPE,Cincinnati,OH,A,"('Cincinnati', 'OH')",39.103118200000004,-84.5120196,152.85814127796968,-8.90309005641693
28,NORTHROP GRUMMAN,CPE,Cincinnati,OH,O,"('Cincinnati', 'OH')",39.103118200000004,-84.5120196,152.85814127796968,-8.90309005641693
29,RAYTHEON NETWORK CENTRIC SYSTEMS,CPE,Ft. Wayne,IN,A,"('Ft. Wayne', 'IN')",41.079273,-85.13935129999999,159.7506236976245,44.43591784367218
30,RAYTHEON,CPE,Ft. Wayne,IN,A,"('Ft. Wayne', 'IN')",41.079273,-85.13935129999999,159.7506236976245,44.43591784367218
31,BASTIAN SOLUTIONS,CPE,St. Louis,MO,O,"('St. Louis', 'MO')",38.6270025,-90.1994042,164.69631238887345,-159.95892744600144
32,RESEARCH IN MOTION,CPE,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
33,ZEBRA TECHNOLOGIES,CPE,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
34,MACAULAY BROWN,CPE,Dayton,OH,A,"('Dayton', 'OH')",39.758947799999994,-84.1916069,168.06951800659374,7.5834859801070325
35,MACAULEY BROWN,CPE,Dayton,OH,O,"('Dayton', 'OH')",39.758947799999994,-84.1916069,168.06951800659374,7.5834859801070325
36,LEXMARK,CPE,Lexington,KY,O,"('Lexington', 'KY')",38.040583700000006,-84.50371640000002,181.7738056481677,-32.24862644575139
37,LEXMARK,CPE,Lexington,KY,A,"('Lexington', 'KY')",38.040583700000006,-84.50371640000002,181.7738056481677,-32.24862644575139
38,LEXMARK,CPE,Lexington,KY,A,"('Lexington', 'KY')",38.040583700000006,-84.50371640000002,181.7738056481677,-32.24862644575139
39,ROCKWELL COLLINS,CPE,Cedar Rapids,MI,R,"('Cedar Rapids', 'MI')",43.05508589999999,-85.6095757,262.51901588057143,70.67049523370312
40,EPIC SYSTEMS,CPE,Madison,WI,A,"('Madison', 'WI')",43.07305170000001,-89.4012302,270.3510084752115,112.73702746980922
41,EPIC,CPE,Madison,WI,A,"('Madison', 'WI')",43.07305170000001,-89.4012302,270.3510084752115,112.73702746980922
42,ROCKWELL COLLINS,CPE,Cedar Rapids,IA,A,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
43,ROCKWELL COLLINS,CPE,Cedar Rapids,IA,A,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
44,ROCKWELL COLLINS,CPE,Cedar Rapids,IA,R,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
45,GARMIN INTERNATIONAL,CPE,Olathe,KS,A,"('Olathe', 'KS')",38.8813958,-94.8191285,402.8161851265789,-176.4895501932566
46,BOSTON SCIENTIFIC,CPE,St. Paul,MN,A,"('St. Paul', 'MN')",44.953702899999996,-93.0899578,478.8940798536336,126.02205107045471
47,CISCO,CPE,Research Triangle Park,NC,A,"('Research Triangle Park', 'NC')",35.899167799999994,-78.86364019999998,524.255176279309,-25.48029352454568
48,QINETIQ NA,CPE,Reston,VA,O,"('Reston', 'VA')",38.9586307,-77.35700279999998,534.4875156863168,-0.6912444629568943
49,CISCO SYSTEMS,CPE,Raleigh,NC,A,"('Raleigh', 'NC')",35.7795897,-78.6381787,539.3231259867439,-25.5493616294868
50,ANAKAM IDENTITY SERVICES,CPE,Arlington,VA,O,"('Arlington', 'VA')",38.879969700000004,-77.1067698,548.5107385289834,-1.0823046196348571
51,RAYTHEON HENGGLAR,CPE,Columbia,MD,O,"('Columbia', 'MD')",39.203714399999996,-76.86104619999998,559.1125027066333,1.3764229974279336
52,BOOZ ALLEN HAMILTON,CPE,Annapolis Junction,MD,R,"('Annapolis Junction', 'MD')",39.130937,-76.7933133,563.2059308498582,0.8997921351454797
53,NORTHROP GRUMMAN,CPE,Baltimore,MD,A,"('Baltimore', 'MD')",39.2903848,-76.6121893,571.8488458108715,2.1002958926881767
54,NORTROP GRUMMAN,CPE,Baltimore,MD,R,"('Baltimore', 'MD')",39.2903848,-76.6121893,571.8488458108715,2.1002958926881767
55,NORTHROP GRUMMAN,CPE,Baltimore,MD,R,"('Baltimore', 'MD')",39.2903848,-76.6121893,571.8488458108715,2.1002958926881767
56,LUTRON,CPE,Coopersburg,PA,R,"('Coopersburg', 'PA')",40.5114885,-75.390458,635.1351838760157,10.256949707597693
57,NSWC DAM NECK,CPE,Virgina Beach,VA,A,"('Virgina Beach', 'VA')",36.8529263,-75.97798499999998,641.9452083302554,-12.831570934842947
58,NSWC DAM NECK,CPE,Virgina Beach,VA,R,"('Virgina Beach', 'VA')",36.8529263,-75.97798499999998,641.9452083302554,-12.831570934842947
59,NAVSEA,CPE,Virgina Beach,VA,A,"('Virgina Beach', 'VA')",36.8529263,-75.97798499999998,641.9452083302554,-12.831570934842947
60,NSWC DAM NECK,CPE,Virgina Beach,VA,R,"('Virgina Beach', 'VA')",36.8529263,-75.97798499999998,641.9452083302554,-12.831570934842947
61,TEXAS INSTRUMENTS,CPE,Dallas,TX,A,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
62,TEXAS INSTRUMENTS,CPE,Dallas,TX,A,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
63,TEXAS INSTRUMENTS,CPE,Dallas,TX,A,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
64,TEXAS INSTRUMENTS,CPE,Dallas,TX,A,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
65,NATIONAL INSTRUMENTS,CPE,Austin,TX,A,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
66,NATIONAL INSTRUMENTS,CPE,Austin,TX,R,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
67,NATIONAL INSTRUMENTS,CPE,Austin,TX,O,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
68,NATIONAL INSTRUMENTS,CPE,Austin,TX,O,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
69,NATIONAL INSTRUMENTS,CPE,Austin,TX,O,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
70,ASCENDANT ENGINEERING,CPE,Austin,TX,A,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
71,ASCENDANT ENGINEERING,CPE,Austin,TX,A,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
72,ECHOSTAR,CPE,Denver,CO,R,"('Denver', 'CO')",39.737567,-104.9847179,937.7880425834177,173.268946947117
73,SOUTHWEST RESEARCH INSTITUTE,CPE,San Antonio,TX,A,"('San Antonio', 'TX')",29.4241219,-98.4936282,939.7787680678873,-135.77421594078064
74,SWRI,CPE,San Antonio,TX,R,"('San Antonio', 'TX')",29.4241219,-98.4936282,939.7787680678873,-135.77421594078064
75,TEXAS INSTRUMENTS,CPE,Phoenix,AZ,O,"('Phoenix', 'AZ')",33.4483771,-112.07403729999999,1430.5111996235528,-170.83089211884055
76,ENERGY NORTHWEST,CPE,Richland,WA,A,"('Richland', 'WA')",46.2856907,-119.2844621,1670.8999791990664,153.15797706146878
77,VIASAT,CPE,San Diego,CA,O,"('San Diego', 'CA')",32.7153292,-117.1572551,1719.6113494266206,-173.60157680698262
78,FRITO LAY,CPE,Bakersfield,CA,A,"('Bakersfield', 'CA')",35.3732921,-119.0187125,1751.3484778877691,179.24079543692196
