,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
0,COOK MEDICAL,CS,Bloomington,IN,O,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
1,SEP,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
2,MOBI,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
3,SEP,CS,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
4,SEP,CS,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
5,SEP,CS,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
6,SOFTWARE ENGINEERING PROFESSIONALS,CS,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
7,INFODYNAMICS,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
8,ANGEL LEARNING,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
9,INDIANA DEPARTMENT OF EDUCATION,CS,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
10,SEP,CS,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
11,REALMED,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
12,EXACT TARGET,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
13,APRIMO,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
14,INTERACTIVE INTELLIGENCE,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
15,INTERACTIVE INTELLIGENCE,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
16,INTERACTIVE INTELLIGENCE,CS,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
17,INTERACTIVE INTELLIGENCE,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
18,CYBERMETRIX,CS,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
19,INTERACTIVE INTELLIGENCE,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
20,INTERACTIVE INTELLIGENCE,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
21,INTERACTIVE INTELLIGENCE,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
22,INTERACTIVE INTELLIGENCE,CS,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
23,BECKMAN COULTER,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
24,EPSILEN,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
25,BLACKBOARD,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
26,DELIVERA,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
27,APPARATUS,CS,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
28,BLACKBAUD,CS,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
29,INTERACTIVE INTELLIGENCE,CS,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
30,ALLEGIANT TECHNOLOGIES,CS,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
31,INTERACTIVE INTELLIGENCE,CS,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
32,INTERACTIVE INTELLIGENCE,CS,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
33,SEP,CS,Carmel,IN,A,"('Carmel', 'IN')",39.978371,-86.1180435,73.02381073463572,28.511206284442157
34,SOFTWARE ENGINEERING PROFESSIONALS,CS,Carmel,IN,R,"('Carmel', 'IN')",39.978371,-86.1180435,73.02381073463572,28.511206284442157
35,SEP,CS,Carmel,IN,A,"('Carmel', 'IN')",39.978371,-86.1180435,73.02381073463572,28.511206284442157
36,SEP,CS,Carmel,IN,A,"('Carmel', 'IN')",39.978371,-86.1180435,73.02381073463572,28.511206284442157
37,SEP,CS,Carmel,IN,A,"('Carmel', 'IN')",39.978371,-86.1180435,73.02381073463572,28.511206284442157
38,ORS,CS,Fishers,IN,O,"('Fishers', 'IN')",39.95675479999999,-86.01335,77.33352835877467,25.6224438054186
39,NEXT WAVE SYSTEMS,CS,Salem,IN,A,"('Salem', 'IN')",38.6056131,-86.101089,89.40276740932993,-42.08072935435849
40,CONNECTSOFT,CS,Louisville,KY,R,"('Louisville', 'KY')",38.252664700000004,-85.7584557,119.68819217006785,-44.57301418833032
41,,CS,Cincinnati,OH,A,"('Cincinnati', 'OH')",39.103118200000004,-84.5120196,152.85814127796968,-8.90309005641693
42,ENOVA,CS,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
43,ALLSTATE,CS,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
44,ALLSTATE,CS,Chicago,IL,O,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
45,ALLSTATE,CS,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
46,GROUPON,CS,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
47,KCURA,CS,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
48,GROUPON,CS,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
49,ARCELORMITTAL,CS,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
50,WEST MONROE PARTNERS,CS,Chicago,IL,O,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
51,GENECA,CS,Oakbrook Terrace,IL,A,"('Oakbrook Terrace', 'IL')",41.8500302,-87.96450770000001,166.99149864111368,101.25901789696768
52,LEXMARK,CS,Lexington,KY,R,"('Lexington', 'KY')",38.040583700000006,-84.50371640000002,181.7738056481677,-32.24862644575139
53,LEXMARK,CS,Lexington,KY,A,"('Lexington', 'KY')",38.040583700000006,-84.50371640000002,181.7738056481677,-32.24862644575139
54,JUST5CLICKS,CS,North Barrington,IL,R,"('North Barrington', 'IL')",42.207802,-88.14063490000001,193.05412312915863,102.39392531161606
55,EPIC,CS,Madison,WI,R,"('Madison', 'WI')",43.07305170000001,-89.4012302,270.3510084752115,112.73702746980922
56,EPIC SYSTEMS,CS,Madison,WI,R,"('Madison', 'WI')",43.07305170000001,-89.4012302,270.3510084752115,112.73702746980922
57,EPIC,CS,Madison,WI,A,"('Madison', 'WI')",43.07305170000001,-89.4012302,270.3510084752115,112.73702746980922
58,EPIC,CS,Madison,WI,A,"('Madison', 'WI')",43.07305170000001,-89.4012302,270.3510084752115,112.73702746980922
59,XBY2,CS,Farmington Hills,MI,A,"('Farmington Hills', 'MI')",42.4989936,-83.3677168,293.40716895455995,46.549778454273365
60,XBY2,CS,Farmington Hills,MI,O,"('Farmington Hills', 'MI')",42.4989936,-83.3677168,293.40716895455995,46.549778454273365
61,EXPLORYS,CS,Cleveland,OH,O,"('Cleveland', 'OH')",41.499495399999994,-81.6954088,327.0596852178068,27.043343234073877
62,NASA,CS,Marshall Space Flight Center,AL,O,"('Marshall Space Flight Center', 'AL')",34.6465571,-86.67574549999998,335.68101723549887,-83.62815542786062
63,GARMIN,CS,Kansas City,KS,O,"('Kansas City', 'KS')",39.114053000000006,-94.6274636,390.6142850168265,-178.61109803700302
64,LIBERTY MUTUAL,CS,Warsau,WI,R,"('Warsau', 'WI')",44.9591352,-89.6301221,396.14684848231565,106.49886098399486
65,GARMIN,CS,Olathe,KS,R,"('Olathe', 'KS')",38.8813958,-94.8191285,402.8161851265789,-176.4895501932566
66,GE ENERGY,CS,Atlanta,GA,O,"('Atlanta', 'GA')",33.7489954,-84.3879824,427.93870555781814,-66.70825165511812
67,SEAGATE TECHNOLOGY,CS,Bloomington,MN,O,"('Bloomington', 'MN')",44.840798,-93.29827990000001,479.6358462807624,127.55709755128672
68,METRON,CS,Reston,VA,A,"('Reston', 'VA')",38.9586307,-77.35700279999998,534.4875156863168,-0.6912444629568943
69,METRON,CS,Reston,VA,R,"('Reston', 'VA')",38.9586307,-77.35700279999998,534.4875156863168,-0.6912444629568943
70,CENTURION,CS,Alexandria,VA,A,"('Alexandria', 'VA')",38.804835499999996,-77.0469214,552.4049319433478,-1.5733340061457888
71,SENSIBLE SOLUTIONS AND TECH.,CS,Ellicott City,MD,O,"('Ellicott City', 'MD')",39.2673283,-76.7983067,562.0679561857418,1.8554398245955601
72,SENSIBLE SOLUTIONS AND TECH.,CS,Ellicott City,MD,O,"('Ellicott City', 'MD')",39.2673283,-76.7983067,562.0679561857418,1.8554398245955601
73,BOOZ ALLEN HAMILTON,CS,Annapolis Junction,MD,A,"('Annapolis Junction', 'MD')",39.130937,-76.7933133,563.2059308498582,0.8997921351454797
74,NATIONAL SECURITY AGENCY,CS,Ft. Meade,MD,O,"('Ft. Meade', 'MD')",39.1137602,-76.7267773,566.8725022580453,0.8166972873634741
75,DEPT. OF DEFENSE,CS,Fort Meade,MD,O,"('Fort Meade', 'MD')",39.1137602,-76.7267773,566.8725022580453,0.8166972873634741
76,NORTHROP GRUMMAN,CS,Baltimore,MD,O,"('Baltimore', 'MD')",39.2903848,-76.6121893,571.8488458108715,2.1002958926881767
77,BLACKBAUD,CS,Charleston,SC,A,"('Charleston', 'SC')",32.776565600000005,-79.93092159999998,619.6579038674928,-46.03570402624013
78,BLACKBAUD,CS,Charleston,SC,O,"('Charleston', 'SC')",32.776565600000005,-79.93092159999998,619.6579038674928,-46.03570402624013
79,RAYTHEON,CS,Dallas,TX,A,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
80,AVALON CONSULTING,CS,Austin,TX,O,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
81,NATIONAL INSTRUMENTS,CS,Austin,TX,R,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
82,BP3 GLOBAL,CS,Austin,TX,A,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
83,NATIONAL INSTRUMENTS,CS,Austin,TX,O,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
84,SWRI,CS,San Antonio,TX,R,"('San Antonio', 'TX')",29.4241219,-98.4936282,939.7787680678873,-135.77421594078064
85,GREEN HILLS SOFTWARE,CS,Santa Barbara,CA,A,"('Santa Barbara', 'CA')",34.4208305,-119.69819009999999,1809.797450021149,-179.13152040380768
86,MICROSOFT,CS,Redmond,WA,A,"('Redmond', 'WA')",47.6739881,-122.12151200000001,1812.4417227365122,150.30965601046032
87,MICROSOFT,CS,Redmond,WA,A,"('Redmond', 'WA')",47.6739881,-122.12151200000001,1812.4417227365122,150.30965601046032
88,MICROSOFT,CS,Redmond,WA,A,"('Redmond', 'WA')",47.6739881,-122.12151200000001,1812.4417227365122,150.30965601046032
89,MICROSOFT,CS,Redmond,WA,R,"('Redmond', 'WA')",47.6739881,-122.12151200000001,1812.4417227365122,150.30965601046032
