,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
0,NRK INC.,EE,Terre Haute,IN,A,"('Terre Haute', 'IN')",39.4667034,-87.41390919999998,4.522328778260515,-168.45126607205916
1,NUCOR STEEL,EE,Crawforsville,IN,O,"('Crawforsville', 'IN')",40.0411536,-86.87445160000001,45.70477427094754,58.14174488960068
2,DUKE ENERGY,EE,Edwardsport,IN,R,"('Edwardsport', 'IN')",38.811991,-87.25223670000001,46.30671775098907,-84.76312101034199
3,DUKE ENERGY,EE,Edwardsport,IN,A,"('Edwardsport', 'IN')",38.811991,-87.25223670000001,46.30671775098907,-84.76312101034199
4,DUKE ENERGY,EE,Edwardsport,IN,R,"('Edwardsport', 'IN')",38.811991,-87.25223670000001,46.30671775098907,-84.76312101034199
5,NAVSEA,EE,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999998,46.62970208738656,-60.525422591237366
6,NSWC CRANE,EE,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999998,46.62970208738656,-60.525422591237366
7,TECHNOLOGY SERVICE CORP,EE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
8,ALLISON TRANSMISSIONS,EE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
9,BECKMAN COULTER,EE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
10,ANGIES LIST,EE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
11,INDESIGN,EE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
12,SYSTEC CONVEYORS,EE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
13,ALLISON TRANSMISSION,EE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
14,CORNERSTONE CONTROL SYSTEMS,EE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
15,FREESCALE SEMI CONDUCTOR,EE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
16,ACE TECHNOLOGY,EE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
17,RAYTHEON,EE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
18,MOORE ENGINEERING,EE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
19,FEXWARE INNOVATIO0N,EE,Fishers,IN,A,"('Fishers', 'IN')",39.95675479999999,-86.01335,77.33352835877467,25.6224438054186
20,CUMMINS,EE,Columbus,IN,R,"('Columbus', 'IN')",39.201440399999996,-85.9213796,77.68137681610905,-13.880214911081527
21,"CUMMINS, INC",EE,Columbus,IN,O,"('Columbus', 'IN')",39.201440399999996,-85.9213796,77.68137681610905,-13.880214911081527
22,"CUMMINS, INC",EE,Columbus,IN,A,"('Columbus', 'IN')",39.201440399999996,-85.9213796,77.68137681610905,-13.880214911081527
23,CUMMINS INC,EE,Columbus,IN,A,"('Columbus', 'IN')",39.201440399999996,-85.9213796,77.68137681610905,-13.880214911081527
24,"CUMMINS, INC",EE,Columbus,IN,R,"('Columbus', 'IN')",39.201440399999996,-85.9213796,77.68137681610905,-13.880214911081527
25,"CUMMINS, INC",EE,Columbus,IN,R,"('Columbus', 'IN')",39.201440399999996,-85.9213796,77.68137681610905,-13.880214911081527
26,"CUMMINS, INC",EE,Columbus,IN,R,"('Columbus', 'IN')",39.201440399999996,-85.9213796,77.68137681610905,-13.880214911081527
27,VALEO SYLVANIA,EE,Semour,IN,O,"('Semour', 'IN')",38.9592201,-85.8902547,85.03263128683642,-24.55235757877243
28,VALEO SYLVANIA,EE,Seymour,IN,O,"('Seymour', 'IN')",38.9592201,-85.8902547,85.03263128683642,-24.55235757877243
29,ARCHER DANIELS MIDLAND,EE,Decatur,IL,R,"('Decatur', 'IL')",39.84031470000001,-88.9548001,89.843696162322,163.39936313713287
30,ARCHER DANIELS MIDLAND,EE,Decatur,IL,A,"('Decatur', 'IL')",39.84031470000001,-88.9548001,89.843696162322,163.39936313713287
31,DELPHI,EE,Kokomo,IN,A,"('Kokomo', 'IN')",40.486427,-86.13360329999998,94.03504022956949,48.03952295358759
32,S&S STEEL,EE,Anderson,IN,O,"('Anderson', 'IN')",40.1053196,-85.6802541,97.63903342906715,26.778694195820822
33,ALCOA,EE,Evansville,IN,R,"('Evansville', 'IN')",37.9715592,-87.5710898,104.94826867069986,-97.16053681237848
34,PEYTON TECHNICAL,EE,Cordyn,IN,A,"('Cordyn', 'IN')",38.2120121,-86.1219155,109.04050617873995,-53.021065547455656
35,GE ENERGY POWER MANAGEMENT,EE,Louisville,KY,O,"('Louisville', 'KY')",38.252664700000004,-85.7584557,119.68819217006785,-44.57301418833032
36,CATERPILLAR,EE,Peoria,IL,A,"('Peoria', 'IL')",40.6936488,-89.58898640000001,145.7867194928936,144.1863525045756
37,CATERPILLAR,EE,Peoria,IL,R,"('Peoria', 'IL')",40.6936488,-89.58898640000001,145.7867194928936,144.1863525045756
38,CATERPILLAR,EE,Peoria,IL,A,"('Peoria', 'IL')",40.6936488,-89.58898640000001,145.7867194928936,144.1863525045756
39,CATERPILLAR,EE,Peoria,IL,O,"('Peoria', 'IL')",40.6936488,-89.58898640000001,145.7867194928936,144.1863525045756
40,ARCELORMITTAL,EE,Burns Harbor,IN,A,"('Burns Harbor', 'IN')",41.6258708,-87.1333676,148.5443364352631,86.0656006900684
41,ARCELORMITTAL,EE,Burns Harbor,IN,A,"('Burns Harbor', 'IN')",41.6258708,-87.1333676,148.5443364352631,86.0656006900684
42,DYNEGY,EE,O'Fallon,IL,A,"(""O'Fallon"", 'IL')",38.592323,-89.91099100000001,151.34199747252498,-156.93085602944558
43,HAZEN & SAWYER,EE,Cincinatti,OH,R,"('Cincinatti', 'OH')",39.103118200000004,-84.5120196,152.85814127796968,-8.90309005641693
44,GENERAL CABLE,EE,Highland Heights,KY,A,"('Highland Heights', 'KY')",39.033116899999996,-84.45188540000001,156.97870765624398,-10.418547291632331
45,BAE SYSTEMS,EE,Fort Wayne,IN,O,"('Fort Wayne', 'IN')",41.079273,-85.13935129999999,159.7506236976245,44.43591784367218
46,RAYTHEON,EE,Ft. Wayne,IN,R,"('Ft. Wayne', 'IN')",41.079273,-85.13935129999999,159.7506236976245,44.43591784367218
47,BAE SYSTEMS,EE,Fort Wayne,IN,A,"('Fort Wayne', 'IN')",41.079273,-85.13935129999999,159.7506236976245,44.43591784367218
48,RAYTHEON,EE,Fort Wayne,IN,O,"('Fort Wayne', 'IN')",41.079273,-85.13935129999999,159.7506236976245,44.43591784367218
49,NAVISTAR,EE,Lyle,IL,A,"('Lyle', 'IL')",41.801140999999994,-88.0747875,164.9555500110371,103.42805363784613
50,BURNS & MCDONNELL,EE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
51,BSA LIFESTRUCTURES,EE,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
52,NASIC,EE,Dayton,OH,R,"('Dayton', 'OH')",39.758947799999994,-84.1916069,168.06951800659374,7.5834859801070325
