,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
0,GE AVIATION,ME,Terre Haute,IN,R,"('Terre Haute', 'IN')",39.4667034,-87.41390919999998,4.522328778260515,-168.45126607205916
1,THYSSEUN KRUPP,ME,Terre Haute,IN,A,"('Terre Haute', 'IN')",39.4667034,-87.41390919999998,4.522328778260515,-168.45126607205916
2,SONY DADC,ME,Terre Haute,IN,O,"('Terre Haute', 'IN')",39.4667034,-87.41390919999998,4.522328778260515,-168.45126607205916
3,CONOCOPHILLIPS,ME,Terre Haute,IN,R,"('Terre Haute', 'IN')",39.4667034,-87.41390919999998,4.522328778260515,-168.45126607205916
4,GREEN LEAF,ME,Fontanet,IN,R,"('Fontanet', 'IN')",39.57536990000001,-87.2434821,8.070269276559781,54.84519019396782
5,TECHNIFAB,ME,Brazil,IN,A,"('Brazil', 'IN')",39.523652,-87.12501540000001,11.373143455232446,15.489825614238914
6,GREAT DANE TRAILERS,ME,Brazil,IN,A,"('Brazil', 'IN')",39.523652,-87.12501540000001,11.373143455232446,15.489825614238914
7,GREAT DANE TRAILERS,ME,Brazil,IN,A,"('Brazil', 'IN')",39.523652,-87.12501540000001,11.373143455232446,15.489825614238914
8,GREAT DANE TRAILERS,ME,Brazil,IN,A,"('Brazil', 'IN')",39.523652,-87.12501540000001,11.373143455232446,15.489825614238914
9,TRW AUTOMOTIVE,ME,Marshall,IL,A,"('Marshall', 'IL')",39.3914252,-87.69363840000001,20.290983179536386,-162.60419131076745
10,DONCASTERS,ME,Paris,IL,O,"('Paris', 'IL')",39.611146000000005,-87.69613740000001,21.462158514378274,154.8954931858411
11,DIESEL RADIATOR,ME,Melrose,IL,A,"('Melrose', 'IL')",39.2233718,-87.7641957,29.1400626215027,-142.7117207794747
12,MEROM POWER PLANT,ME,Merom,IN,A,"('Merom', 'IN')",39.056430799999994,-87.5675234,31.858111095962496,-113.48066138812423
13,BOSTON SCIENTIFIC,ME,Spencer,IN,A,"('Spencer', 'IN')",39.286711700000005,-86.7625058,33.13164100577265,-23.554675750759426
14,ACUITY LIGHTING,ME,Crawfordsville,IN,R,"('Crawfordsville', 'IN')",40.0411536,-86.87445160000001,45.70477427094754,58.14174488960068
15,NAVSEA,ME,Crane,IN,O,"('Crane', 'IN')",38.8911588,-86.90389379999998,46.62970208738656,-60.525422591237366
16,NSWC CRANE,ME,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999998,46.62970208738656,-60.525422591237366
17,NSWC CRANE,ME,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999998,46.62970208738656,-60.525422591237366
18,NSWC CRANE,ME,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999998,46.62970208738656,-60.525422591237366
19,NAVSEA,ME,Crane,IN,O,"('Crane', 'IN')",38.8911588,-86.90389379999998,46.62970208738656,-60.525422591237366
20,THYSSEUN KRUPP,ME,Danville,IL,R,"('Danville', 'IL')",40.124481,-87.6300207,47.257695509657715,109.5313602590348
21,COOK MEDICAL,ME,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
22,"FLOSOURCE, INC.",ME,Martinsville,IN,A,"('Martinsville', 'IN')",39.42782529999999,-86.42832790000001,48.249331238699924,-3.982519831946569
23,NICEPAK,ME,Mooresville,IN,A,"('Mooresville', 'IN')",39.61282429999999,-86.37415999999997,51.75658529788736,10.523287420790119
24,EQUIPMENT TECHNOLOGIES,ME,Mooresville,IN,R,"('Mooresville', 'IN')",39.61282429999999,-86.37415999999997,51.75658529788736,10.523287420790119
25,XWIND,ME,Brownsburg,IN,O,"('Brownsburg', 'IN')",39.843376899999996,-86.39777350000001,55.58605113577129,27.142439617529334
26,HARRISON STEEL CASTING COMPANY,ME,Attica,IN,R,"('Attica', 'IN')",40.2942039,-87.24889879999998,56.39855992459039,85.61402904486374
27,EXAQTARGET,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
28,ROLLS ROYCE,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
29,BELCAN,ME,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
30,INTERACTIVE INTELLIGENCE,ME,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
31,ROLLS ROYCE,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
32,ROLLS ROYCE,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
33,ROLLS ROYCE,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
34,ROLLS ROYCE,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
35,ROLLS ROYCE,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
36,ROLLS ROYCE,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
37,ROLLS ROYCE,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
38,ELI LILLY,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
39,BECKMAN COULTER,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
40,ALLISON TRANSMISSION,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
41,ELI LILLY,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
42,GENERAL MOTORS,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
43,RAYTHEON,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
44,ELI LILLY,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
45,WYNRIGHT,ME,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
46,HYDROGEAR,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
47,PERFORMANCE VALIDATION,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
48,BASTIAN SOLUTIONS,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
49,BECKMAN COULTER,ME,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
50,ROLLS ROYCE,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
51,MAJOR TOOL AND MACHINE,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
