,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
0,CRANE NSWC,OE,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999998,46.62970208738656,-60.525422591237366
1,NSWC CRANE,OE,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999998,46.62970208738656,-60.525422591237366
2,VALEO SYLVANIA,OE,Seymour,IN,A,"('Seymour', 'IN')",38.9592201,-85.8902547,85.03263128683642,-24.55235757877243
3,VALEO SYLVANIA,OE,Seymour,IN,A,"('Seymour', 'IN')",38.9592201,-85.8902547,85.03263128683642,-24.55235757877243
4,GROTE INDUSTRIES,OE,Madison,IN,A,"('Madison', 'IN')",38.735893299999994,-85.37995769999998,116.4627032582991,-25.554460524155875
5,GENERAL MOTORS,OE,Warren,MI,A,"('Warren', 'MI')",42.49299999999999,-83.02819699999998,305.8353202528332,44.24816408222677
6,OPTIS,OE,Troy,MI,O,"('Troy', 'MI')",42.6055893,-83.1499304,306.5033490132738,46.10587171686104
7,IRIMSENS,OE,Pittsburgh,PA,A,"('Pittsburgh', 'PA')",40.44062479999999,-79.9958864,393.713888133106,12.0420415021123
8,PHILIPS LIGHTING,OE,Dallas,TX,A,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
9,NOVAOPTICS INC.  ,OE,Ramsey,NJ,A,"('Ramsey', 'NJ')",41.0573188,-74.1409771,702.7084787534094,13.143308099204313
10,MIT LINCOLN LABS,OE,Boston,MA,O,"('Boston', 'MA')",42.358430799999994,-71.05977320000001,870.4429571828488,18.44111859606201
11,DILAS DIODE LASER INC.,OE,Tucson,AZ,A,"('Tucson', 'AZ')",32.2217429,-110.926479,1407.3513468467036,-166.48889746047652
