,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
0,SOFTWARE ENGINEERING PROFESSIONALS,SE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
1,EXACTTARGET,SE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
2,EXACTTARGET,SE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
3,BECKMAN COULTER,SE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
4,TINDERBOX,SE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
5,BECKMAN COULTER,SE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
6,INTERACTIVE INTELLIGENCE,SE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
7,INTERACTIVE INTELLIGENCE,SE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
8,INTERACTIVE INTELLIGENCE,SE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
9,INTERACTIVE INTELLIGENCE,SE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
10,RAYTHEON,SE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
11,ANGIE'S LIST,SE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
12,APRIMO,SE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
13,ALLEGIENT,SE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
14,EDGILE,SE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
15,ELI LILLY,SE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
16,ELI LILLY,SE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
17,REALMED CORP.,SE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
18,INDIGO BIOSYSTEMS,SE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
19,ALLEGIENT,SE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
20,INTERACTIVE INTELLIGENCE,SE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
21,INTERACTIONS CORP.,SE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,65.47625370620044,18.08969650809829
22,SEP,SE,Carmel,IN,R,"('Carmel', 'IN')",39.978371,-86.1180435,73.02381073463572,28.511206284442157
23,SOFTWARE ENGINEERING PROFESSIONALS,SE,Carmel,IN,R,"('Carmel', 'IN')",39.978371,-86.1180435,73.02381073463572,28.511206284442157
24,"BLUE HORSESHOE SOLUTIONS, INC",SE,Carmel,IN,R,"('Carmel', 'IN')",39.978371,-86.1180435,73.02381073463572,28.511206284442157
25,SEP,SE,Carmel,IN,O,"('Carmel', 'IN')",39.978371,-86.1180435,73.02381073463572,28.511206284442157
26,BLUE HORSHOE SOLUTIONS,SE,Carmel,IN,R,"('Carmel', 'IN')",39.978371,-86.1180435,73.02381073463572,28.511206284442157
27,DELPHI,SE,Kokomo,IN,R,"('Kokomo', 'IN')",40.486427,-86.13360329999998,94.03504022956949,48.03952295358759
28,CONNECTSOFT,SE,Louisville,KY,R,"('Louisville', 'KY')",38.252664700000004,-85.7584557,119.68819217006785,-44.57301418833032
29,NORTHROP GRUMMAN,SE,Cincinnati,OH,A,"('Cincinnati', 'OH')",39.103118200000004,-84.5120196,152.85814127796968,-8.90309005641693
30,SOGETTI,SE,Cincinatti,OH,A,"('Cincinatti', 'OH')",39.103118200000004,-84.5120196,152.85814127796968,-8.90309005641693
31,NORTHRUP GRUMMAN,SE,Cincinnati,OH,R,"('Cincinnati', 'OH')",39.103118200000004,-84.5120196,152.85814127796968,-8.90309005641693
32,RAYTHEON,SE,Fort Wayne,IN,O,"('Fort Wayne', 'IN')",41.079273,-85.13935129999999,159.7506236976245,44.43591784367218
33,ENOVA,SE,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
34,"EDGILE,",SE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
35,GENECA,SE,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
36,ENOVA,SE,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
37,ENOVA,SE,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
38,ENOVA,SE,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
39,RESEARCH IN MOTION,SE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
40,ENOVA,SE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
41,ARCELORMITTAL,SE,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
42,QRM,SE,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
43,QRM,SE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
44,OBTIVA,SE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
45,GROUPON,SE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
46,ENOVA,SE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
47,GENECA,SE,Oakbrook Terrace,IL,A,"('Oakbrook Terrace', 'IL')",41.8500302,-87.96450770000001,166.99149864111368,101.25901789696768
48,ROCKWELL COLLINS,SE,Cedar Rapids,MI,A,"('Cedar Rapids', 'MI')",43.05508589999999,-85.6095757,262.51901588057143,70.67049523370312
49,EPIC,SE,Madison,WI,A,"('Madison', 'WI')",43.07305170000001,-89.4012302,270.3510084752115,112.73702746980922
50,EPIC SYSTEMS,SE,Madison,WI,A,"('Madison', 'WI')",43.07305170000001,-89.4012302,270.3510084752115,112.73702746980922
51,ROCKWELL COLLINS,SE,Cedar Rapids,IA,R,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
52,XBY2,SE,Farmington Hills,MI,R,"('Farmington Hills', 'MI')",42.4989936,-83.3677168,293.40716895455995,46.549778454273365
53,XBY2,SE,Farmington Hills,MI,O,"('Farmington Hills', 'MI')",42.4989936,-83.3677168,293.40716895455995,46.549778454273365
54,,SE,Farmington Hills,MI,R,"('Farmington Hills', 'MI')",42.4989936,-83.3677168,293.40716895455995,46.549778454273365
55,DELPHI ELECTRONICS AND SAFETY,SE,Auburn Hills,MI,A,"('Auburn Hills', 'MI')",42.6875323,-83.23410279999999,307.3639628238149,47.42123869470026
56,PROGRESSIVE,SE,Cleveland,OH,R,"('Cleveland', 'OH')",41.499495399999994,-81.6954088,327.0596852178068,27.043343234073877
57,PROGRESSIVE INSURANVE,SE,Cleveland,OH,O,"('Cleveland', 'OH')",41.499495399999994,-81.6954088,327.0596852178068,27.043343234073877
